	Completeness	Name	Class	Definition
M00001	1.0	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K24182,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)
M00003	1.0	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	(K01596,K01610) (K01689,K27394) (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622) K01689,
M00005	1.0	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00948
M00071	1.0	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	Pathway modules; Glycan metabolism; Glycan biosynthesis	K03766 (K07966,K07967,K07968,K07969) K07966,K07967,K07968,K07969 B4GALT1,B4GALT2,B4GALT3,B4GALT4
M00052	1.0	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	(K13800,K13809,K09903) (K00940,K18533) K01937
M00056	1.0	O-glycan biosynthesis, mucin type core	Pathway modules; Glycan metabolism; Glycan biosynthesis	K00710 (K00731,K09653) (K00727,K09662,K09663) K00739 K00731,K09653 C1GALT1,C1GALT2
M00049	1.0	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules; Nucleotide metabolism; Purine metabolism	K01939 K01756 (K00939,K18532,K18533,K00944) K00940
M00070	1.0	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	Pathway modules; Glycan metabolism; Glycan biosynthesis	K03766 (K07819,K07820,K03877) K07819,K07820,K03877 B3GALT1,B3GALT2,B3GALT5
M00051	1.0	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	(K11540,(K11541 K01465),((K01954,K01955+K01956) (K00609+K00610,K00608) K01465)) (K00226,K00254,K17828) (K13421,K00762 K01591) K11540,K11541,K00609+K00610,
M00133	1.0	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	(K01584,K01585,K02626) K01480 K01611 K00797
M00307	1.0	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737 K00169,K00170,K00171,K00172,K00189,
M00909	1.0	UDP-GlcNAc biosynthesis, prokaryotes, Fru-6P => UDP-GlcNAc	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K00820 (K03431,K28126) (K04042,K23144,(K28192 (K11528,K00972))) K03431,
M00899	1.0	Thiamine salvage pathway, HMP/HET => TMP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00878 ((K00941 K00788),K14153,K21219)
M00883	1.0	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	(K23735,K23734) K03644 (K10105,K16869) K03644 LIAS,lipA; lipoyl synthase
M00624	1.0	Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K18074+K18075+K18077 K18076 K18076 1,2-dihydroxy-3,5-cyclohexadiene-1,4-dicarboxylate dehydrogenase
M00580	1.0	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	(K08094 (K08093,K13812),K13831) K01807 K08093,K13812,K13831 3-hexulose-6-phosphate synthase [EC:4.1.2.43] [RN:R05338]
M00617	1.0	Methanogen	Signature modules; Module set; Metabolic capacity	M00567,M00357,M00356,M00563 K00205,K11260,K00204 4Fe-4S ferredoxin
M00622	1.0	Nicotinate degradation, nicotinate => fumarate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K18029+K18030 K14974 K18028 K15357 K13995 K01799 K14974 6-hydroxynicotinate 3-monooxygenase [EC:1.14.13.114] [RN:R08764] K18028 2,5-dihydroxypyridine 5,6-dioxygenase [EC:1.13.11.9] [RN:R09125] K15357 N-formylmaleamate deformylase [EC:3.5.1.106] [RN:R09126]
M00544	1.0	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K15751-K15752-K15753 K15754+K15755 K15756 K15754+K15755 2'-aminobiphenyl-2,3-diol 1,2-dioxygenase
M00961	1.0	Betacyanin biosynthesis, L-tyrosine => amaranthin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	K26037 K15777 (K15776,K15774) K26038 K15777 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-] [RN:R08836]
M00986	1.0	Sulfur reduction, sulfur => sulfide	Pathway modules; Energy metabolism; Sulfur metabolism	K18367,(K17219+K17220+K17221)
M00916	1.0	Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K06215+K08681
M00911	1.0	Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01497 K14654 K14655 -- K02858 K00794 K00793 K00861 K00953 K14654 2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase [EC:1.1.1.302] [RN:R09375 R09376] K14655 2,5-diamino-6-(5-phospho-D-ribitylamino)-pyrimidin-4(3H)-one deaminase [RN:R09377] K02858 3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12] [RN:R07281] K00794 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78] [RN:R04457]
M00874	1.0	Fatty acid biosynthesis in mitochondria, fungi	Pathway modules; Lipid metabolism; Fatty acid metabolism	K11262 K03955+K00645 K09458 K00059 K22541 K07512 K03955 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein K00645 [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39] K09458 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179] K00059 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] K22541 3-hydroxyacyl-thioester dehydratase, fungi type [EC:4.2.1.-]
M00873	1.0	Fatty acid biosynthesis in mitochondria, animals	Pathway modules; Lipid metabolism; Fatty acid metabolism	K18660 K03955+K00645 K09458 K11539+K13370 K22540 K07512 K03955 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein K00645 [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39] K09458 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179] K11539,K13370 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.-] K22540 3-hydroxyacyl-thioester dehydratase, animal type [EC:4.2.1.-]
M00872	1.0	O-glycan biosynthesis, mannose type (core M3)	Pathway modules; Glycan metabolism; Glycan biosynthesis	K00728 K18207 K09654 K17547 K21031 K19872 K19873 K21052 K21032 K09668 K18207 POMGNT2; protein O-mannose beta-1,4-N-acetylglucosaminyltransferase
M00862	1.0	beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA	Pathway modules; Lipid metabolism; Sterol biosynthesis	K10214 K12405 K08764 K12405 (3R)-3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase [EC:1.1.1.- 4.2.1.107] [RN:R04813 R04812 R04809 R04810]
M00545	1.0	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	(((K05708+K05709+K05710+K00529) K05711),K05712) K05713 K05714 K02554 K01666 K04073 K05711 2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.87] [RN:R06785]
M00551	1.0	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K05549+K05550+K05784 K05783 K05783 1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
M00432	1.0	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K01649 (K01702,K01703+K01704) K00052 K01702,K01703,K01704 3-isopropylmalate dehydratase
M00371	1.0	Castasterone biosynthesis, campesterol => castasterone	Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis	(K09587,K12639) K09588 K09591 (K12637,K12638) K20623 (K09590,K12640,K25959) K09588 3beta,22alpha-dihydroxysteroid 3-dehydrogenase [EC:1.14.19.79] [RN:R07446]
M00035	0.75	Methionine degradation	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00789 (K00552,K00558,K17398,K17399) K01251 (K01697,K10150)
M00914	0.75	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00606 K00077 K06982 K09722 K13038 K02201 K09735 K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169] [RN:R02472]
M00896	0.75	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K22699 K03147 (K00941 (K00788,K21220),K21219) K00946
M01000	0.6666666666666666	GDP-Man biosynthesis, Fru-6P => GDP-Man	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	(K01809,K15916,K16011) (K17497,K01840,K15778,K16881) (K00966,K00971,K16011,K16881)
M00988	0.6666666666666666	PreQ1 biosynthesis, GTP => 7-Aminomethyl-7-deazaguanine	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	(K01495,K09007,K22391) K01737 K10026 K06920 (K06879,K09457) K01737 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase
M00741	0.6666666666666666	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	(K01965+K01966,K11263+(K18472,K27094+K27095,K19312+K22568),K01964+K15036+K15037) K05606 (K01847,K01848+K01849)
M00365	0.6666666666666666	C10-C20 isoprenoid biosynthesis, archaea	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K01823 K13787 K13787 DMPP -> GPP -> FPP -> GGPP
M00763	0.6666666666666666	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K05826 K19412 K05828 K05829 K05830 K05831
M00115	0.6	NAD biosynthesis, aspartate => quinolinate => NAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	(K00278,K06989) K03517 K00767 (K00969,K06210) (K01916,K01950)
M00018	0.6	Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) (K00872,K02204,K02203) K01733
M00119	0.5714285714285714	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00826 K00606 K00077 K01579 (K01918,K13799) K00606 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11] [RN:R01226] K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169] [RN:R02472]
M00031	0.5714285714285714	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K05826 K05827 K05828 K05829 K05830 K05831 K05827 [lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase
M00034	0.5555555555555556	Methionine salvage pathway	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00789 K01611 K00797 ((K01243,K01244) K00899,(K00772,K05810)) K08963 (K16054,K08964 (K09880,K08965 K08966)) K08967 (K00815,K08969,K23977,K00832,K00838) K01611 S-adenosylmethionine decarboxylase [EC:4.1.1.50] [RN:R00178]
M00019	0.5	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K01652+(K01653,K11258) K00053 K01687 K00826
M00098	0.5	Acylglycerol degradation	Pathway modules; Lipid metabolism; Lipid metabolism	(K01046,K12298,K16816,K13534,K14073,K14074,K14075,K14076,K22283,K14452,K22284,K14674,K14675,K17900) (K01054,K25824)
M00141	0.5	C1-unit interconversion, eukaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00600 (K00288,(K13403 K13402))
M00843	0.5	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01495 K01737 K17745 K01737 6-pyruvoyltetrahydropterin [EC:4.2.3.12] [RN:R04286]
M00842	0.5	Tetrahydrobiopterin biosynthesis, GTP => BH4	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01495 K01737 K00072 K01737 6-pyruvoyltetrahydropterin synthase [EC:4.2.3.12] [RN:R04286]
M00913	0.5	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00606 K00077 K13367 K00128 K01918 K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169] [RN:R02472]
M00346	0.4444444444444444	Formaldehyde assimilation, serine pathway	Pathway modules; Energy metabolism; Methane metabolism	K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691
M00895	0.4444444444444444	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03148+K03154 K03151 K03153 K03149 K10810 K03147 K00941 K00788 K00946
M00127	0.42857142857142855	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03148+K03154 K03151 K03150 K03149 K03147 ((K00941 K00788),K14153,K21219) K00946
M00159	0.4117647058823529	V/A-type ATPase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02117+K02118+K02119+K02120+K02121+K02122+K02107+K02123+K02124 K02118 ATPVB; V/A-type H+-transporting ATPase subunit B K02119 ATPVC; V/A-type H+-transporting ATPase subunit C K02120 ATPVD; V/A-type H+-transporting ATPase subunit D K02121 ATPVE; V/A-type H+-transporting ATPase subunit E K02122 ATPVF; V/A-type H+-transporting ATPase subunit F K02107 ATPVG; V/A-type H+-transporting ATPase subunit G/H K02123 ATPVI; V/A-type H+-transporting ATPase subunit I K02124 ATPVK; V/A-type H+-transporting ATPase subunit K
M00050	0.4	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00088 K01951 K00942 (K00940,K18533) K01951 GMP synthase [EC:6.3.5.2] [RN:R01230 R01231]
